DATE,vwretd
1997/06/16,0.000735
1997/06/17,0.001477
1997/06/18,-0.003685
1997/06/19,0.009394
1997/06/20,-0.000193
1997/06/23,-0.017584
1997/06/24,0.015658
1997/06/25,-0.006574
1997/06/26,-0.004565
1997/06/27,0.004278
1997/06/30,-0.000478
1997/07/01,0.005729
1997/07/02,0.011721
1997/07/03,0.011900
1997/07/07,-0.003372
1997/07/08,0.007022
1997/07/09,-0.008635
1997/07/10,0.006042
1997/07/11,0.004660
1997/07/14,0.002446
1997/07/15,0.007385
1997/07/16,0.011512
1997/07/17,-0.005121
1997/07/18,-0.013530
1997/07/21,-0.004248
1997/07/22,0.019322
1997/07/23,0.003260
1997/07/24,0.003158
1997/07/25,-0.000930
1997/07/28,-0.001984
1997/07/29,0.005182
1997/07/30,0.010846
1997/07/31,0.002239
1997/08/01,-0.005229
1997/08/04,0.003258
1997/08/05,0.003583
1997/08/06,0.007357
1997/08/07,-0.007024
1997/08/08,-0.017513
1997/08/11,0.001308
1997/08/12,-0.008812
1997/08/13,-0.002384
1997/08/14,0.002545
1997/08/15,-0.019864
1997/08/18,0.007854
1997/08/19,0.013942
1997/08/20,0.013519
1997/08/21,-0.011830
1997/08/22,-0.002579
1997/08/25,-0.000652
1997/08/26,-0.005629
1997/08/27,0.001911
1997/08/28,-0.007694
1997/08/29,-0.002003
1997/09/02,0.024141
1997/09/03,0.001896
1997/09/04,0.002892
1997/09/05,0.000611
1997/09/08,0.003201
1997/09/09,0.002930
1997/09/10,-0.011471
1997/09/11,-0.006090
1997/09/12,0.011759
1997/09/15,-0.002483
1997/09/16,0.021915
1997/09/17,-0.000470
1997/09/18,0.003861
1997/09/19,0.003052
1997/09/22,0.005281
1997/09/23,-0.002470
1997/09/24,-0.005758
1997/09/25,-0.005499
1997/09/26,0.006215
1997/09/29,0.007381
1997/09/30,-0.003269
1997/10/01,0.006434
1997/10/02,0.005408
1997/10/03,0.005141
1997/10/06,0.007100
1997/10/07,0.008874
1997/10/08,-0.005795
1997/10/09,-0.001887
1997/10/10,-0.002733
1997/10/13,0.001182
1997/10/14,0.000483
1997/10/15,-0.003303
1997/10/16,-0.010226
1997/10/17,-0.012782
1997/10/20,0.011091
1997/10/21,0.015927
1997/10/22,-0.002620
1997/10/23,-0.018019
1997/10/24,-0.007926
1997/10/27,-0.065250
1997/10/28,0.040183
1997/10/29,0.001265
1997/10/30,-0.015518
1997/10/31,0.011766
1997/11/03,0.023026
1997/11/04,0.002357
1997/11/05,0.003803
1997/11/06,-0.004868
1997/11/07,-0.012737
1997/11/10,-0.004944
1997/11/11,0.000502
1997/11/12,-0.019461
1997/11/13,0.008105
1997/11/14,0.012087
1997/11/17,0.018269
1997/11/18,-0.007714
1997/11/19,0.004138
1997/11/20,0.013500
1997/11/21,0.002719
1997/11/24,-0.016280
1997/11/25,0.003213
1997/11/26,0.001533
1997/11/28,0.003752
1997/12/01,0.017384
1997/12/02,-0.002696
1997/12/03,0.005364
1997/12/04,-0.001628
1997/12/05,0.009801
1997/12/08,0.000963
1997/12/09,-0.007219
1997/12/10,-0.007872
1997/12/11,-0.015729
1997/12/12,-0.002876
1997/12/15,0.006388
1997/12/16,0.006073
1997/12/17,-0.000969
1997/12/18,-0.010296
1997/12/19,-0.006801
1997/12/22,0.005839
1997/12/23,-0.011394
1997/12/24,-0.005278
1997/12/26,0.003287
1997/12/29,0.016176
1997/12/30,0.017562
1997/12/31,0.002605
1998/01/02,0.002498
1998/01/05,0.002276
1998/01/06,-0.010232
1998/01/07,-0.003519
1998/01/08,-0.008325
1998/01/09,-0.029333
1998/01/12,0.006963
1998/01/13,0.015255
1998/01/14,0.006376
1998/01/15,-0.005708
1998/01/16,0.011205
1998/01/20,0.016299
1998/01/21,-0.006191
1998/01/22,-0.008412
1998/01/23,-0.004857
1998/01/26,-0.002026
1998/01/27,0.009813
1998/01/28,0.010036
1998/01/29,0.007384
1998/01/30,-0.003795
1998/02/02,0.018917
1998/02/03,0.005193
1998/02/04,0.002684
1998/02/05,-0.000798
1998/02/06,0.007615
1998/02/09,-0.000656
1998/02/10,0.008050
1998/02/11,0.001574
1998/02/12,0.003473
1998/02/13,-0.002179
1998/02/17,0.001661
1998/02/18,0.007974
1998/02/19,-0.001956
1998/02/20,0.003766
1998/02/23,0.004394
1998/02/24,-0.006709
1998/02/25,0.011481
1998/02/26,0.005983
1998/02/27,0.000767
1998/03/02,-0.001234
1998/03/03,0.003597
1998/03/04,-0.003851
1998/03/05,-0.010026
1998/03/06,0.018263
1998/03/09,-0.002918
1998/03/10,0.010609
1998/03/11,0.004919
1998/03/12,0.001652
1998/03/13,-0.000510
1998/03/16,0.008695
1998/03/17,0.000984
1998/03/18,0.004672
1998/03/19,0.004084
1998/03/20,0.005978
1998/03/23,-0.002713
1998/03/24,0.008425
1998/03/25,-0.001829
1998/03/26,-0.000184
1998/03/27,-0.003694
1998/03/30,-0.002189
1998/03/31,0.007673
1998/04/01,0.006150
1998/04/02,0.008177
1998/04/03,0.001943
1998/04/06,-0.002448
1998/04/07,-0.010432
1998/04/08,-0.004353
1998/04/09,0.007809
1998/04/13,-0.000311
1998/04/14,0.007068
1998/04/15,0.004031
1998/04/16,-0.008238
1998/04/17,0.010681
1998/04/20,0.001873
1998/04/21,0.002598
1998/04/22,0.002798
1998/04/23,-0.010750
1998/04/24,-0.009536
1998/04/27,-0.021239
1998/04/28,0.002042
1998/04/29,0.009058
1998/04/30,0.014625
1998/05/01,0.006414
